id,kode_provinsi,nama_provinsi,predikat,indeks_pelayanan_publik,satuan,tahun
113,31,DKI JAKARTA,A,4.53,POIN,2024
114,32,JAWA BARAT,A,4.76,POIN,2024
115,33,JAWA TENGAH,A,4.53,POIN,2024
116,34,DI YOGYAKARTA,A,4.62,POIN,2024
117,35,JAWA TIMUR,A,4.63,POIN,2024
118,36,BANTEN,B,3.73,POIN,2024
119,51,BALI,A-,4.41,POIN,2024
120,52,NUSA TENGGARA BARAT,A-,4.42,POIN,2024
121,53,NUSA TENGGARA TIMUR,B,3.56,POIN,2024
122,61,KALIMANTAN BARAT,A-,4.26,POIN,2024
123,62,KALIMANTAN TENGAH,C,2.67,POIN,2024
124,63,KALIMANTAN SELATAN,A,4.56,POIN,2024
125,64,KALIMANTAN TIMUR,B,3.75,POIN,2024
126,65,KALIMANTAN UTARA,A-,4.22,POIN,2024
127,71,SULAWESI UTARA,A-,4.2,POIN,2024
128,72,SULAWESI TENGAH,A-,4.34,POIN,2024
129,73,SULAWESI SELATAN,A-,4.12,POIN,2024
130,74,SULAWESI TENGGARA,C,2.83,POIN,2024
131,75,GORONTALO,A-,4.04,POIN,2024
132,76,SULAWESI BARAT,B-,3.32,POIN,2024
133,81,MALUKU,C-,2.18,POIN,2024
134,82,MALUKU UTARA,C,2.8,POIN,2024
135,91,PAPUA BARAT,B-,3.32,POIN,2024
136,94,PAPUA,0,0.0,POIN,2024
